id,activityId,startTime,endTime,duration,note,polarity
29056499,821890,2020-12-11T17:20:50.360,2020-12-11T18:27:52.667,0 days 01:07:02.307000,,0.0
29065590,821890,2020-12-11T20:07:09.705,2020-12-11T20:20:08.514,0 days 00:12:58.809000,,0.0
29379918,821890,2020-12-17T16:06:47.034,2020-12-17T16:13:00.391,0 days 00:06:13.357000,,0.0
29393804,821890,2020-12-17T19:23:40.125,2020-12-17T19:52:38.188,0 days 00:28:58.063000,,0.0
29403096,821890,2020-12-17T22:42:11.498,2020-12-17T22:50:57.114,0 days 00:08:45.616000,,0.0
29536027,821890,2020-12-21T18:36:36.767,2020-12-21T19:27:25.661,0 days 00:50:48.894000,,0.0
29591258,821890,2020-12-22T18:54:16.872,2020-12-22T19:45:22.893,0 days 00:51:06.021000,,0.0
29736138,821890,2020-12-29T15:53:58.423,2020-12-29T15:59:44.542,0 days 00:05:46.119000,,0.0
29737037,821890,2020-12-29T16:13:30.920,2020-12-29T16:46:36.806,0 days 00:33:05.886000,,0.0
29746773,821890,2020-12-29T20:29:04.819,2020-12-29T20:39:53.404,0 days 00:10:48.585000,,0.0
29747477,821890,2020-12-29T20:52:51.155,2020-12-29T21:10:41.681,0 days 00:17:50.526000,,0.0
29751540,821890,2020-12-29T23:45:23.230,2020-12-30T00:29:15.826,0 days 00:43:52.596000,,0.0
29753185,821890,2020-12-30T02:10:38.730,2020-12-30T03:00:32.279,0 days 00:49:53.549000,,0.0
29925264,821890,2021-01-04T23:51:11.826,2021-01-05T02:00:00.000,0 days 02:08:48.174000,,0.0
29988450,821890,2021-01-05T18:16:27.241,2021-01-05T18:32:17.460,0 days 00:15:50.219000,,0.0
30012635,821890,2021-01-06T01:07:06.451,2021-01-06T02:00:00.000,0 days 00:52:53.549000,,0.0
30151048,821890,2021-01-07T19:00:24.939,2021-01-07T19:06:03.992,0 days 00:05:39.053000,,0.0
30156629,821890,2021-01-07T20:27:18.392,2021-01-07T20:48:26.391,0 days 00:21:07.999000,,0.0
30160766,821890,2021-01-07T21:40:30.855,2021-01-07T21:53:52.791,0 days 00:13:21.936000,,0.0
30210737,821890,2021-01-08T15:22:18.266,2021-01-08T16:33:48.558,0 days 01:11:30.292000,,0.0
30354599,821890,2021-01-11T19:16:57.329,2021-01-11T19:37:03.375,0 days 00:20:06.046000,,0.0
30360992,821890,2021-01-11T20:49:42.990,2021-01-11T21:00:31.614,0 days 00:10:48.624000,,0.0
30458402,821890,2021-01-12T20:11:31.612,2021-01-13T00:04:11.028,0 days 03:52:39.416000,,0.0
30471740,821890,2021-01-13T00:46:57.820,2021-01-13T02:00:00.000,0 days 01:13:02.180000,,0.0
30536938,821890,2021-01-13T16:39:52.692,2021-01-13T16:48:33.665,0 days 00:08:40.973000,,0.0
30555325,821890,2021-01-13T18:00:27.562,2021-01-13T19:10:00.000,0 days 01:09:32.438000,,0.0
30624180,821890,2021-01-14T15:42:36.379,2021-01-14T15:50:03.056,0 days 00:07:26.677000,,0.0
30631105,821890,2021-01-14T16:40:35.866,2021-01-14T16:51:50.226,0 days 00:11:14.360000,,0.0
30658189,821890,2021-01-14T22:40:23.975,2021-01-14T22:50:35.705,0 days 00:10:11.730000,,0.0
30659508,821890,2021-01-14T23:12:56.881,2021-01-14T23:45:12.538,0 days 00:32:15.657000,,0.0
31040926,821890,2021-01-20T17:56:03.056,2021-01-20T18:04:21.644,0 days 00:08:18.588000,,0.0
31143754,821890,2021-01-21T19:39:36.964,2021-01-21T20:34:09.671,0 days 00:54:32.707000,,0.0
31209147,821890,2021-01-22T15:13:20.610,2021-01-22T15:28:01.856,0 days 00:14:41.246000,,0.0
31683062,821890,2021-01-28T23:14:58.735,2021-01-29T00:19:50.850,0 days 01:04:52.115000,,0.0
26183021,821889,2020-10-21T18:34:34.594,2020-10-21T19:01:20.641,0 days 00:26:46.047000,,0.0
26855233,821889,2020-11-03T15:32:36.739,2020-11-03T16:06:09.693,0 days 00:33:32.954000,,0.0
26956329,821889,2020-11-04T23:21:06.961,2020-11-05T01:30:49.922,0 days 02:09:42.961000,,0.0
27272167,821889,2020-11-10T20:39:44.769,2020-11-10T21:00:27.190,0 days 00:20:42.421000,,0.0
29892936,821889,2021-01-04T16:15:20.880,2021-01-04T16:16:36.780,0 days 00:01:15.900000,,0.0
30555336,821889,2021-01-13T20:11:35.468,2021-01-13T20:15:12.125,0 days 00:03:36.657000,,0.0
30661818,821889,2021-01-14T23:45:12.538,2021-01-15T00:10:50.918,0 days 00:25:38.380000,,0.0
26101902,821887,2020-10-20T16:35:07.522,2020-10-20T16:37:05.567,0 days 00:01:58.045000,,0.0
26860132,821887,2020-11-03T16:25:23.150,2020-11-03T17:12:42.765,0 days 00:47:19.615000,,0.0
26864354,821887,2020-11-03T17:18:39.195,2020-11-03T17:48:00.036,0 days 00:29:20.841000,,0.0
27280550,821887,2020-11-11T00:04:57.837,2020-11-11T00:37:57.106,0 days 00:32:59.269000,,0.0
27744191,821887,2020-11-18T19:26:11.323,2020-11-18T19:28:13.031,0 days 00:02:01.708000,,0.0
25803628,821886,2020-10-14T17:11:58.343,2020-10-14T18:25:51.285,0 days 01:13:52.942000,,0.0
30224222,821884,2021-01-08T17:58:19.336,2021-01-08T18:08:43.190,0 days 00:10:23.854000,,0.0
25308335,821895,2020-10-05T22:14:50.416,2020-10-05T22:29:16.487,0 days 00:14:26.071000,<{{|t|274493|}}>  <{{|t|255981|}}>  access troubleshooting model,0.0
25348430,821895,2020-10-06T13:40:51.201,2020-10-06T13:52:59.580,0 days 00:12:08.379000,<{{|t|255982|}}> <{{|t|255981|}}> daily flash validation,0.0
25351171,821895,2020-10-06T14:09:01.328,2020-10-06T14:37:04.876,0 days 00:28:03.548000,<{{|t|255982|}}>  <{{|t|255981|}}>  daily flash validation,0.0
25514822,821895,2020-10-08T19:20:43.145,2020-10-08T19:36:02.868,0 days 00:15:19.723000,<{{|t|256027|}}>  <{{|t|255981|}}>  Access troubleshooting for new report workspace,0.13636363636363635
25715920,821895,2020-10-13T14:03:27.889,2020-10-13T14:42:47.325,0 days 00:39:19.436000,<{{|t|256027|}}>  <{{|t|255981|}}>  Deploying planning report bug fixes to dev/test environment,0.0
25726886,821895,2020-10-13T16:08:20.755,2020-10-13T16:23:58.428,0 days 00:15:37.673000,<{{|t|256027|}}>  <{{|t|255981|}}>  planning report filter implementation,0.0
25729291,821895,2020-10-13T16:46:32.548,2020-10-13T18:19:34.333,0 days 01:33:01.785000,<{{|t|256027|}}>  <{{|t|255981|}}>  Planning report filter error fix,0.0
25819373,821895,2020-10-14T22:56:39.873,2020-10-15T00:14:18.101,0 days 01:17:38.228000,<{{|t|255982|}}>  <{{|t|255981|}}>  Validation of RT and New Starts actuals,0.13636363636363635
25821421,821895,2020-10-15T00:51:09.555,2020-10-15T01:49:38.999,0 days 00:58:29.444000,<{{|t|255982|}}>  <{{|t|255981|}}>  model validation RT and new starts,0.13636363636363635
25857898,821895,2020-10-15T13:51:31.688,2020-10-15T14:42:25.843,0 days 00:50:54.155000,<{{|t|255982|}}>  <{{|t|255981|}}>  model validation,0.0
25862355,821895,2020-10-15T14:45:39.620,2020-10-15T14:56:20.098,0 days 00:10:40.478000,<{{|t|255982|}}>  <{{|t|255981|}}>  model validation,0.0
25864330,821895,2020-10-15T15:16:49.959,2020-10-15T15:51:15.298,0 days 00:34:25.339000,<{{|t|255982|}}>  <{{|t|255981|}}>  model validation,0.0
25883433,821895,2020-10-15T20:31:57.697,2020-10-15T20:56:00.103,0 days 00:24:02.406000,<{{|t|256027|}}>  <{{|t|255981|}}>  TRA planning report fix wrap up,0.0
26265016,821895,2020-10-22T22:55:07.317,2020-10-22T23:27:31.624,0 days 00:32:24.307000,<{{|t|255982|}}>  <{{|t|255981|}}>  daily flash validation,0.0
26473035,821895,2020-10-27T15:51:11.536,2020-10-27T17:08:12.357,0 days 01:17:00.821000,<{{|t|255982|}}>  <{{|t|255981|}}>  daily flash validation,0.0
26548397,821895,2020-10-28T16:17:13.622,2020-10-28T16:48:46.067,0 days 00:31:32.445000,<{{|t|257562|}}>  <{{|t|255734|}}>  reviewing project and submitting,0.0
26639236,821895,2020-10-29T22:02:19.177,2020-10-29T22:28:18.810,0 days 00:25:59.633000,<{{|t|255982|}}>  <{{|t|255981|}}>  validating fix,0.0
26841322,821895,2020-11-03T13:00:08.342,2020-11-03T13:22:56.770,0 days 00:22:48.428000,<{{|t|255982|}}>  <{{|t|255981|}}>  nightly refresh research,0.0
27182297,821895,2020-11-09T18:31:49.830,2020-11-09T18:42:32.771,0 days 00:10:42.941000,<{{|t|256027|}}>  <{{|t|255981|}}>  Refresh error handling,0.0
27683747,821895,2020-11-18T02:50:35.504,2020-11-18T03:30:35.461,0 days 00:39:59.957000,<{{|t|255982|}}>  <{{|t|255981|}}>  referral report validation,0.0
27791824,821895,2020-11-19T13:29:44.613,2020-11-19T14:28:05.387,0 days 00:58:20.774000,<{{|t|256027|}}>  <{{|t|255981|}}>  updating Power BI gateway,0.0
27830257,821895,2020-11-19T21:49:06.707,2020-11-19T22:11:30.780,0 days 00:22:24.073000,<{{|t|274493|}}>  <{{|t|255981|}}>  Walk thru with Harini,0.0
27999932,821895,2020-11-23T22:53:27.106,2020-11-23T23:09:50.840,0 days 00:16:23.734000,<{{|t|274493|}}>  <{{|t|255981|}}>   Code review for AWV changes,0.0
28484179,821895,2020-12-02T15:45:51.408,2020-12-02T16:13:12.753,0 days 00:27:21.345000,<{{|t|274493|}}>  <{{|t|255981|}}>  checking nightly refresh for Mark,0.0
28506599,821895,2020-12-02T20:45:00.838,2020-12-02T21:03:17.076,0 days 00:18:16.238000,<{{|t|274493|}}>  <{{|t|255981|}}>  nightly refresh bug chasing,0.0
28733393,821895,2020-12-07T14:35:59.832,2020-12-07T16:34:52.769,0 days 01:58:52.937000,<{{|t|274493|}}>  <{{|t|255981|}}>  AWV report validation,0.0
28747399,821895,2020-12-07T16:51:09.654,2020-12-07T17:54:36.336,0 days 01:03:26.682000,<{{|t|274493|}}>  <{{|t|255981|}}>  AWV report validation and change deployment,0.0
28824800,821895,2020-12-08T16:37:51.942,2020-12-08T17:01:52.286,0 days 00:24:00.344000,<{{|t|274493|}}>  <{{|t|255981|}}>  Wellness load procedure validation,0.0
29044818,821895,2020-12-11T14:49:51.677,2020-12-11T17:20:45.577,0 days 02:30:53.900000,<{{|t|274493|}}>  <{{|t|255981|}}>,0.0
29578685,821895,2020-12-22T15:13:42.111,2020-12-22T18:54:16.872,0 days 03:40:34.761000,<{{|t|255982|}}>  <{{|t|255981|}}>  daily flash validation and Power BI admin,0.0
29594458,821895,2020-12-22T20:08:45.625,2020-12-22T21:26:56.075,0 days 01:18:10.450000,<{{|t|255982|}}>  <{{|t|255981|}}> daily flash validation,0.0
29629310,821895,2020-12-23T15:30:00.000,2020-12-23T16:30:00.000,0 days 01:00:00,<{{|t|255982|}}>  <{{|t|255981|}}>  validation pass off with Carlos,0.0
29717585,821895,2020-12-28T16:52:08.270,2020-12-28T20:00:00.000,0 days 03:07:51.730000,<{{|t|255982|}}>  <{{|t|255981|}}>  Validating daily flash and user access configuration,0.0
29719277,821895,2020-12-28T20:00:00.000,2020-12-28T21:00:00.000,0 days 01:00:00,<{{|t|1240308|}}>  <{{|t|255981|}}>  Helping Harini with model deployment,0.0
29719269,821895,2020-12-29T01:00:00.000,2020-12-29T05:00:00.000,0 days 04:00:00,<{{|t|255982|}}>  <{{|t|255981|}}>  validation and production configuration,0.0
29719273,821895,2020-12-29T05:00:00.000,2020-12-29T05:59:59.999,0 days 00:59:59.999000,<{{|t|274493|}}>  <{{|t|255981|}}>  Reviewing Arthur's work and emailing Mark update,0.0
29738525,821895,2020-12-29T16:46:36.806,2020-12-29T20:29:04.819,0 days 03:42:28.013000,<{{|t|255982|}}>  <{{|t|255981|}}>  Daily flash validation,0.0
29793453,821895,2020-12-30T12:15:00.000,2020-12-30T17:00:00.000,0 days 04:45:00,<{{|t|255982|}}>  <{{|t|255981|}}>  validation and fix implementation,0.0
29793472,821895,2020-12-30T18:00:00.000,2020-12-31T01:30:00.000,0 days 07:30:00,<{{|t|255982|}}>  <{{|t|255981|}}>,0.0
29796476,821895,2020-12-31T15:00:00.000,2020-12-31T16:30:00.000,0 days 01:30:00,<{{|t|255982|}}> <{{|t|255981|}}>  Power BI report changes,0.0
29893129,821895,2021-01-04T16:16:36.780,2021-01-04T19:27:08.136,0 days 03:10:31.356000,<{{|t|255982|}}>  <{{|t|255981|}}>  validation for adaptive data,0.0
29964951,821895,2021-01-05T14:14:46.311,2021-01-05T14:30:19.416,0 days 00:15:33.105000,<{{|t|255982|}}>  <{{|t|255981|}}>,0.0
30426288,821895,2021-01-12T14:49:50.865,2021-01-12T15:50:49.734,0 days 01:00:58.869000,<{{|t|274493|}}>  <{{|t|255981|}}>  confirming use of right AD groups,0.2857142857142857
31017841,821895,2021-01-20T14:31:32.813,2021-01-20T14:57:43.812,0 days 00:26:10.999000,<{{|t|255982|}}>  <{{|t|256026|}}>  Handing off validation tasks to Carlos,0.0
31207656,821895,2021-01-22T14:45:06.386,2021-01-22T15:13:20.610,0 days 00:28:14.224000,<{{|t|256027|}}>  <{{|t|255981|}}>  Code review for dimCarrier and DimItem stored procs,0.0
31733201,821895,2021-01-29T14:57:10.494,2021-01-29T16:00:21.228,0 days 01:03:10.734000,"<{{|t|256027|}}>  <{{|t|255981|}}>  code review (card 5772, 5773)",0.0
32009248,821895,2021-02-02T20:21:28.699,2021-02-02T20:51:00.267,0 days 00:29:31.568000,<{{|t|256027|}}>  <{{|t|255981|}}>  Code reviewing stored procs to load transport warehouse !5770,0.0
25349543,821893,2020-10-06T13:53:00.347,2020-10-06T14:09:01.121,0 days 00:16:00.774000,<{{|t|274493|}}> <{{|t|255981|}}> greenway collections analysis,0.0
25383696,821893,2020-10-06T21:45:16.000,2020-10-07T00:15:00.000,0 days 02:29:44,<{{|t|274493|}}> <{{|t|255981|}}> greenway collections,0.0
25417394,821893,2020-10-07T13:19:58.939,2020-10-07T13:28:59.760,0 days 00:09:00.821000,<{{|t|255982|}}>  <{{|t|255981|}}>  data factory maintenance,0.0
25427242,821893,2020-10-07T15:08:27.703,2020-10-07T17:05:58.686,0 days 01:57:30.983000,<{{|t|274493|}}> <{{|t|255981|}}> greenway payments,0.0
25514837,821893,2020-10-08T19:36:07.312,2020-10-08T20:12:45.979,0 days 00:36:38.667000,<{{|t|274493|}}>  <{{|t|255981|}}>  User Access troubleshooting,0.0
25518789,821893,2020-10-08T21:09:21.117,2020-10-08T21:40:41.953,0 days 00:31:20.836000,<{{|t|274493|}}>  <{{|t|255981|}}>  User access troubleshooting/testing,0.0
25519938,821893,2020-10-08T21:45:42.293,2020-10-08T22:01:42.342,0 days 00:16:00.049000,<{{|t|274493|}}>  <{{|t|255981|}}>  User access troubleshooting,0.0
25603817,821893,2020-10-12T01:52:06.338,2020-10-12T02:30:34.422,0 days 00:38:28.084000,<{{|t|274493|}}>  <{{|t|255981|}}>  Nightly ETL error research,0.0
25663260,821893,2020-10-12T18:21:07.189,2020-10-12T20:45:15.290,0 days 02:24:08.101000,<{{|t|256027|}}>  <{{|t|255981|}}>  Microban revenue report bug research,0.0
25673369,821893,2020-10-12T22:01:05.966,2020-10-12T22:26:06.724,0 days 00:25:00.758000,<{{|t|255981|}}>  <{{|t|256027|}}>  Planning report bug research,0.0
25676715,821893,2020-10-13T00:28:02.329,2020-10-13T01:40:02.051,0 days 01:11:59.722000,<{{|t|255981|}}>  <{{|t|256027|}}>  Planning report bug research,0.0
25719531,821893,2020-10-13T14:42:47.960,2020-10-13T15:49:24.276,0 days 01:06:36.316000,<{{|t|255981|}}>  <{{|t|256027|}}>  Planning report bug discovery,0.0
25822358,821893,2020-10-15T02:16:32.969,2020-10-15T03:06:52.729,0 days 00:50:19.760000,<{{|t|255982|}}>   <{{|t|255981|}}>  Setting up automated analysis services refesh,0.0
26458707,821893,2020-10-27T13:29:19.419,2020-10-27T14:04:34.414,0 days 00:35:14.995000,Morning stand up <{{|t|274493|}}>  <{{|t|255981|}}>  WWMC nightly refresh error,0.0
26600004,821893,2020-10-29T12:43:34.640,2020-10-29T13:29:12.579,0 days 00:45:37.939000,<{{|t|255982|}}>  <{{|t|255981|}}>  fctActivity error checking / FL Chemo treatments search,0.0
27017416,821893,2020-11-05T18:45:20.302,2020-11-05T19:02:45.076,0 days 00:17:24.774000,<{{|t|256027|}}>  <{{|t|255981|}}>  Planning report task discovery,0.0
27189841,821893,2020-11-09T20:26:03.415,2020-11-09T20:41:22.418,0 days 00:15:19.003000,<{{|t|255982|}}>  <{{|t|255981|}}>  med onc report discovery,0.0
